add device 1: /dev/input/event10
add device 3: /dev/input/event1
[1423674092.430206] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000051b            
[1423674092.430208] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000330            
[1423674092.430211] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000006            
[1423674092.430215] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.442313] /dev/input/event1: EV_ABS       003f                 00000011            
[1423674092.442325] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000005be            
[1423674092.442331] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    0000031d            
[1423674092.442333] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000007            
[1423674092.442339] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[1423674092.454760] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000065d            
[1423674092.454768] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    00000311            
[1423674092.454772] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000006            
