add device 1: /dev/input/event10
add device 2: /dev/input/event0
add device 3: /dev/input/event1
add device 4: /dev/input/event7
add device 5: /dev/input/event9
add device 6: /dev/input/event8
add device 7: /dev/input/event6
add device 8: /dev/input/event5
add device 9: /dev/input/event4
add device 10: /dev/input/event3
add device 11: /dev/input/event2
/dev/input/event1: 0003 003f 0000000c
/dev/input/event1: 0003 0035 00000858
/dev/input/event1: 0003 0036 00000261
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000007f2
/dev/input/event1: 0003 0036 0000027e
/dev/input/event1: 0003 0031 00000004
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff2
/dev/input/event3: 0002 0001 00000034
/dev/input/event3: 0002 0002 0000040b
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000f
/dev/input/event1: 0003 0035 00000794
/dev/input/event1: 0003 0036 00000299
/dev/input/event1: 0003 0031 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000734
/dev/input/event3: 0002 0000 fffffff5
/dev/input/event1: 0003 0036 000002bc
/dev/input/event3: 0002 0001 00000036
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0002 0000040e
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000011
/dev/input/event1: 0003 0035 000006d4
/dev/input/event1: 0003 0036 000002d5
/dev/input/event1: 0003 0031 00000004
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff2
/dev/input/event3: 0002 0001 00000037
/dev/input/event3: 0002 0002 0000040d
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000f
/dev/input/event1: 0003 0035 00000664
/dev/input/event1: 0003 0036 000002ef
/dev/input/event1: 0003 0031 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000005fa
/dev/input/event1: 0003 0036 000002fe
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff3
/dev/input/event3: 0002 0001 00000036
/dev/input/event3: 0002 0002 0000040c
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000058a
/dev/input/event1: 0003 0036 00000310
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000051e
/dev/input/event1: 0003 0036 0000031c
/dev/input/event1: 0003 0031 00000006
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff4
/dev/input/event3: 0002 0001 00000035
/dev/input/event3: 0002 0002 0000040d
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 000004c4
/dev/input/event1: 0003 0036 00000320
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000464
/dev/input/event1: 0003 0036 00000324
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff3
/dev/input/event3: 0002 0001 00000036
/dev/input/event3: 0002 0002 0000040b
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000412
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff2
/dev/input/event3: 0002 0001 00000036
/dev/input/event3: 0002 0002 0000040c
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 000003c6
/dev/input/event1: 0003 0036 00000323
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000011
/dev/input/event1: 0003 0035 00000388
/dev/input/event1: 0003 0036 00000320
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff3
/dev/input/event3: 0002 0001 00000035
/dev/input/event3: 0002 0002 0000040d
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000034d
/dev/input/event1: 0003 0036 0000031e
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000320
/dev/input/event1: 0003 0036 00000319
/dev/input/event1: 0000 0000 00000000
/dev/input/event6: 0002 0006 0000003d
/dev/input/event6: 0002 0007 00000039
/dev/input/event6: 0002 0008 00000028
/dev/input/event6: 0002 0009 00000031
/dev/input/event6: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff3
/dev/input/event3: 0002 0001 00000037
/dev/input/event3: 0002 0002 0000040d
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000f
/dev/input/event1: 0003 0035 000002fb
/dev/input/event1: 0003 0036 00000314
/dev/input/event1: 0003 0031 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000002e3
/dev/input/event1: 0003 0036 0000030f
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff2
/dev/input/event3: 0002 0001 00000036
/dev/input/event3: 0002 0002 0000040c
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 000002d1
/dev/input/event1: 0003 0036 0000030a
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000002c8
/dev/input/event1: 0003 0036 00000306
/dev/input/event1: 0003 0031 00000006
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff2
/dev/input/event3: 0002 0001 00000037
/dev/input/event3: 0002 0002 0000040b
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000011
/dev/input/event1: 0003 0035 000002c3
/dev/input/event1: 0003 0036 00000303
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff3
/dev/input/event3: 0002 0001 00000036
/dev/input/event3: 0002 0002 0000040d
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 000002c1
/dev/input/event1: 0003 0036 00000301
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000014
/dev/input/event1: 0003 0035 000002c2
/dev/input/event1: 0003 0036 000002fe
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff2
/dev/input/event3: 0002 0001 00000037
/dev/input/event3: 0002 0002 0000040d
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 000002cb
/dev/input/event1: 0003 0036 000002f9
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000f
/dev/input/event1: 0003 0035 000002f2
/dev/input/event1: 0003 0036 000002ee
/dev/input/event1: 0003 0031 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff4
/dev/input/event3: 0002 0001 00000036
/dev/input/event3: 0002 0002 0000040c
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000330
/dev/input/event1: 0003 0036 000002e5
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000371
/dev/input/event1: 0003 0036 000002e0
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff3
/dev/input/event3: 0002 0001 00000036
/dev/input/event3: 0002 0002 0000040d
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 000003c2
/dev/input/event1: 0003 0036 000002db
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000016
/dev/input/event1: 0003 0035 00000413
/dev/input/event1: 0003 0036 000002d6
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff4
/dev/input/event3: 0002 0001 00000036
/dev/input/event3: 0002 0002 0000040c
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000f
/dev/input/event1: 0003 0035 00000476
/dev/input/event1: 0003 0036 000002cd
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff3
/dev/input/event3: 0002 0001 00000035
/dev/input/event3: 0002 0002 0000040b
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000011
/dev/input/event1: 0003 0035 000004d3
/dev/input/event1: 0003 0036 000002c6
/dev/input/event1: 0003 0031 00000006
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000f
/dev/input/event1: 0003 0035 0000053e
/dev/input/event1: 0003 0036 000002b8
/dev/input/event1: 0003 0031 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff3
/dev/input/event3: 0002 0001 00000036
/dev/input/event3: 0002 0002 0000040c
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000014
/dev/input/event1: 0003 0035 000005a3
/dev/input/event1: 0003 0036 000002a3
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 003f 0000000f
/dev/input/event1: 0003 0035 00000610
/dev/input/event1: 0003 0036 00000290
/dev/input/event1: 0000 0000 00000000
/dev/input/event6: 0002 0006 00000074
/dev/input/event6: 0002 0007 00000074
/dev/input/event6: 0002 0008 0000004e
/dev/input/event6: 0002 0009 00000060
/dev/input/event6: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff3
/dev/input/event3: 0002 0001 00000035
/dev/input/event3: 0002 0002 0000040c
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000066d
/dev/input/event1: 0003 0036 00000275
/dev/input/event1: 0003 0031 00000006
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 003f 00000011
/dev/input/event1: 0003 0035 000006d2
/dev/input/event1: 0003 0036 00000258
/dev/input/event1: 0003 0031 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event3: 0002 0000 fffffff1
/dev/input/event3: 0002 0001 00000037
/dev/input/event3: 0002 0002 0000040b
/dev/input/event3: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000733
